A,P,Re_Q,Im_Q,Im_Q_over_absQ,K,arg_c,S_residual
0.0,4.600000000000015,4.600000000000015,0.0,0.0,1.0,0.0,0.0
0.05,4.600555555555577,4.556342625221344,-9.584925445930587e-14,-2.1036445751190535e-14,1.019501361641807,-1.440080967587311e-14,2.0789461457500347e-13
0.1,4.602222222222243,4.434419802798119,1.380747368292163e-13,3.113704677714346e-14,1.0771137258061287,-1.390707723423636e-14,2.8037370168878763e-13
0.2,4.608888888888876,4.050400688818719,-2.2330285768627473e-13,-5.513105365173143e-14,1.2947815434170655,-3.191551442637203e-14,1.657892633246462e-13
0.3,4.6200000000000045,3.6339183871944374,5.349794681327125e-13,1.4721834976204374e-13,1.6163433183073406,1.9371154610759525e-13,2.4134702199983876e-13
0.4,4.635555555555584,3.283545086537617,4.6925426507490286e-14,1.4291086393143305e-14,1.993047331852826,4.618264977385866e-14,9.765411257462755e-14
0.5,4.655555555555581,3.01998599763383,2.079669769727858e-12,6.886355669719287e-13,2.376474553643538,1.4814620093714745e-12,1.4857991626047419e-12
