eps,K_minus_1,K_minus_1_over_eps2,Q,kappa,Q_prime
0.16,0.00782250153319608,0.30556646614047184,3.395404387104728,-1.7763923896954306,-1.770400153075391
0.08,0.0019510752543439036,0.30485550849123494,3.4046229114716975,-1.779745709409366,-1.7782389903533424
0.04,0.0004874850003160347,0.3046781251975217,3.4069332180991467,-1.7805869041832387,-1.7802093379210016
0.02,0.00012185352063620591,0.3046338015905148,3.4075111505449893,-1.7807973824820178,-1.7807025929199582
0.01,3.0462272207820718e-05,0.3046227220782072,3.4076556559100397,-1.7808500133121892,-1.780825948479392
0.0,0.0,nan,3.407703826343522,-1.7808670707155638,-1.7808670707155638
