omega,direction,abs_gamma,abs_kappa,parity_residual
-0.8,even,9.080973651690576e-14,0.35169027362204286,9.312565459356606e-14
-0.8,odd,3.240669868796676,0.35169027362204286,9.312565459356606e-14
-0.8,generic,1.3983172320299915,0.35169027362204286,9.312565459356606e-14
-1.5,even,4.9131941244925514e-14,0.25974052810139414,1.6347164840378646e-13
-1.5,odd,5.93243270698232,0.25974052810139414,1.6347164840378646e-13
-1.5,generic,2.4831659043318397,0.25974052810139414,1.6347164840378646e-13
-2.5,even,1.8284703653829851e-13,0.18127595944337507,3.0082553235282213e-13
-2.5,odd,9.961851103531316,0.18127595944337507,3.0082553235282213e-13
-2.5,generic,4.00794846597752,0.18127595944337507,3.0082553235282213e-13
